Jun 25 03:20:49 astra kernel: [29084.947600] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:20:49 astra kernel: [29084.947652] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:23:53 astra kernel: [29269.268273] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:26:54 astra kernel: [29450.513938] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:27:00 astra kernel: [29456.657732] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:30:02 astra kernel: [29638.161744] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:30:08 astra kernel: [29644.306692] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:33:13 astra kernel: [29828.886809] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:33:13 astra kernel: [29828.886821] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:36:14 astra kernel: [30010.386111] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:36:26 astra kernel: [30022.673676] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:39:28 astra kernel: [30204.179357] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:39:28 astra kernel: [30204.179367] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:42:32 astra kernel: [30388.497835] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:42:38 astra kernel: [30394.641786] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:45:43 astra kernel: [30578.964603] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:45:43 astra kernel: [30578.964615] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:48:44 astra kernel: [30760.465749] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:48:47 astra kernel: [30763.537764] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:51:52 astra kernel: [30947.857439] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:52:04 astra kernel: [30960.145418] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:55:05 astra kernel: [31141.650079] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:55:30 astra kernel: [31166.226011] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:58:32 astra kernel: [31347.986087] nfs: server 192.168.57.11 not responding, timed out
Jun 25 03:58:44 astra kernel: [31360.273408] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:01:45 astra kernel: [31541.777839] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:01:45 astra kernel: [31541.777882] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:04:50 astra kernel: [31726.097601] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:04:56 astra kernel: [31732.244016] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:08:00 astra kernel: [31916.562006] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:08:19 astra kernel: [31934.993721] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:11:23 astra kernel: [32119.314317] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:11:23 astra kernel: [32119.314360] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:14:28 astra kernel: [32304.145979] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:14:28 astra kernel: [32304.146005] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:17:33 astra kernel: [32488.979076] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:17:39 astra kernel: [32495.122007] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:20:41 astra kernel: [32676.883885] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:20:47 astra kernel: [32683.025441] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:23:52 astra kernel: [32868.628881] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:23:58 astra kernel: [32874.779314] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:27:01 astra kernel: [33056.792754] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:27:16 astra kernel: [33072.146470] nfs: server 192.168.57.11 not responding, timed out
Jun 25 04:30:18 astra kernel: [33253.908888] nfs: server 192.168.57.11 not responding, timed out
